date,region,product,sales,customers,orders
2026-07-05,North,Cloud Tools,3228.3,97,52
2026-07-05,North,Data Services,2052.62,76,37
2026-07-05,West,AI Platform,5980.46,137,73
2026-07-05,West,Cloud Tools,3404.87,97,52
2026-07-05,West,Data Services,2563.18,90,46
2026-07-05,East,AI Platform,4191.32,107,58
2026-07-05,East,Cloud Tools,2872.61,79,41
2026-07-05,East,Data Services,2359.79,79,40
2026-07-06,South,AI Platform,5705.76,133,75
2026-07-06,South,Cloud Tools,4123.94,112,59
2026-07-06,South,Data Services,2395.75,93,45
2026-07-06,North,AI Platform,5246.87,113,68
2026-07-06,North,Cloud Tools,2748.45,83,46
2026-07-06,North,Data Services,2038.56,69,36
2026-07-06,West,AI Platform,4774.79,109,60
2026-07-06,West,Cloud Tools,3523.05,102,53
2026-07-06,West,Data Services,1872.23,67,34
2026-07-06,East,AI Platform,3439.63,84,45
2026-07-06,East,Cloud Tools,2628.82,85,41
2026-07-06,East,Data Services,2029.16,66,33
2026-07-07,South,AI Platform,5795.77,128,75
2026-07-07,South,Cloud Tools,3311.49,100,51
2026-07-07,South,Data Services,2624.17,93,45
2026-07-07,North,AI Platform,5554.15,103,64
2026-07-07,North,Cloud Tools,2393.6,80,41
2026-07-07,North,Data Services,2301.27,71,37
2026-07-07,West,AI Platform,3805.24,104,56
2026-07-07,West,Cloud Tools,2788.51,92,45
2026-07-07,West,Data Services,1971.56,75,38
2026-07-07,East,AI Platform,3598.74,83,50
2026-07-07,East,Cloud Tools,3006.22,71,40
2026-07-07,East,Data Services,1834.85,61,31
2026-07-08,South,AI Platform,5533.35,136,72
2026-07-08,South,Cloud Tools,3628.22,111,58
2026-07-08,South,Data Services,2515.53,92,44
2026-07-08,North,AI Platform,4222.46,100,56
2026-07-08,North,Cloud Tools,3100.65,89,48
2026-07-08,North,Data Services,2320.01,78,40
2026-07-08,West,AI Platform,4575.14,105,59
2026-07-08,West,Cloud Tools,3928.9,108,60
2026-07-08,West,Data Services,2299.37,76,37
2026-07-08,East,AI Platform,3771.11,95,54
2026-07-08,East,Cloud Tools,2688.12,86,45
2026-07-08,East,Data Services,1978.21,66,34
2026-07-09,South,AI Platform,5223.81,122,68
2026-07-09,South,Cloud Tools,3194.5,106,59
2026-07-09,South,Data Services,2774.41,91,47
2026-07-09,North,AI Platform,4056.29,99,51
2026-07-09,North,Cloud Tools,3163.9,98,47
2026-07-09,North,Data Services,2064.76,74,38
2026-07-09,West,AI Platform,5085.79,108,63
2026-07-09,West,Cloud Tools,3744.11,105,57
2026-07-09,West,Data Services,2983.19,94,49
2026-07-09,East,AI Platform,3811.54,92,51
2026-07-09,East,Cloud Tools,2814.18,86,42
2026-07-09,East,Data Services,2242.68,68,37
2026-07-10,South,AI Platform,5580.79,138,79
2026-07-10,South,Cloud Tools,3162.5,105,51
2026-07-10,South,Data Services,3056.22,104,55
2026-07-10,North,AI Platform,3832.24,95,53
2026-07-10,North,Cloud Tools,2942.77,82,43
2026-07-10,North,Data Services,2185.19,80,37
2026-07-10,West,AI Platform,5390.52,111,63
2026-07-10,West,Cloud Tools,2584.49,79,39
2026-07-10,West,Data Services,2311.99,71,39
2026-07-10,East,AI Platform,4417.65,100,54
2026-07-10,East,Cloud Tools,2920.5,87,45
2026-07-10,East,Data Services,2012.03,72,35
2026-07-11,South,AI Platform,6531.66,139,79
2026-07-11,South,Cloud Tools,3972.26,111,57
2026-07-11,South,Data Services,2876.5,99,49
2026-07-11,North,AI Platform,5642.71,121,67
2026-07-11,North,Cloud Tools,3637.03,103,55
2026-07-11,North,Data Services,2653.44,102,52
2026-07-11,West,AI Platform,5809.36,135,74
2026-07-11,West,Cloud Tools,3196.46,114,54
2026-07-11,West,Data Services,2381.2,81,40
2026-07-11,East,AI Platform,4354.68,109,61
2026-07-11,East,Cloud Tools,2363.16,73,38
2026-07-11,East,Data Services,2573.17,82,44
2026-07-12,South,AI Platform,6599.42,146,82
2026-07-12,South,Cloud Tools,3755.83,114,58
2026-07-12,South,Data Services,3349.57,110,56
2026-07-12,North,AI Platform,5076.69,113,62
2026-07-12,North,Cloud Tools,2332.34,84,40
2026-07-12,North,Data Services,2060.67,69,34
2026-07-12,West,AI Platform,5650.63,122,68
2026-07-12,West,Cloud Tools,4082.67,115,59
2026-07-12,West,Data Services,2572.85,93,46
2026-07-12,East,AI Platform,3892.55,96,51
2026-07-12,East,Cloud Tools,3110.7,95,53
2026-07-12,East,Data Services,2386.08,82,40
2026-07-13,South,AI Platform,5270.04,125,64
2026-07-13,South,Cloud Tools,3054.5,102,51
2026-07-13,South,Data Services,2695.05,89,47
2026-07-13,North,AI Platform,4966.66,105,59
2026-07-13,North,Cloud Tools,2792.02,85,41
2026-07-13,North,Data Services,2373.37,74,40
2026-07-13,West,AI Platform,5402.11,110,62
2026-07-13,West,Cloud Tools,3618.45,109,56
2026-07-13,West,Data Services,2603.0,90,44
2026-07-13,East,AI Platform,3927.29,95,53
2026-07-13,East,Cloud Tools,1910.7,69,32
2026-07-13,East,Data Services,2201.21,67,34
2026-07-14,South,AI Platform,5653.54,134,71
2026-07-14,South,Cloud Tools,3429.72,104,53
2026-07-14,South,Data Services,3085.11,98,50
2026-07-14,North,AI Platform,4778.33,95,53
2026-07-14,North,Cloud Tools,3153.22,89,49
2026-07-14,North,Data Services,2411.09,81,42
2026-07-14,West,AI Platform,4440.89,106,60
2026-07-14,West,Cloud Tools,3532.0,99,54
2026-07-14,West,Data Services,2447.81,81,43
2026-07-14,East,AI Platform,3974.33,102,52
2026-07-14,East,Cloud Tools,2146.35,66,31
2026-07-14,East,Data Services,2005.31,77,38
2026-07-15,South,AI Platform,5091.67,106,57
2026-07-15,South,Cloud Tools,3618.22,110,55
2026-07-15,South,Data Services,2450.54,83,42
2026-07-15,North,AI Platform,4697.16,103,59
2026-07-15,North,Cloud Tools,3102.59,92,46
2026-07-15,North,Data Services,2361.17,88,43
2026-07-15,West,AI Platform,5666.18,121,67
2026-07-15,West,Cloud Tools,3289.75,92,51
2026-07-15,West,Data Services,2666.83,85,47
2026-07-15,East,AI Platform,3845.61,89,48
2026-07-15,East,Cloud Tools,2291.45,70,37
2026-07-15,East,Data Services,1989.46,79,36
2026-07-16,South,AI Platform,4907.86,115,62
2026-07-16,South,Cloud Tools,3422.99,106,54
2026-07-16,South,Data Services,2841.61,96,47
2026-07-16,North,AI Platform,4916.88,108,61
2026-07-16,North,Cloud Tools,3246.94,90,51
2026-07-16,North,Data Services,2013.09,75,37
2026-07-16,West,AI Platform,4271.81,103,55
2026-07-16,West,Cloud Tools,3053.02,97,50
2026-07-16,West,Data Services,2757.33,90,48
2026-07-16,East,AI Platform,4101.75,91,52
2026-07-16,East,Cloud Tools,2340.22,71,36
2026-07-16,East,Data Services,1799.87,65,34
2026-07-17,South,AI Platform,6145.46,136,80
2026-07-17,South,Cloud Tools,2977.98,110,50
2026-07-17,South,Data Services,2721.87,93,45
2026-07-17,North,AI Platform,4593.0,118,62
2026-07-17,North,Cloud Tools,2965.3,90,50
2026-07-17,North,Data Services,2299.08,79,44
2026-07-17,West,AI Platform,4231.56,103,56
2026-07-17,West,Cloud Tools,3030.76,101,53
2026-07-17,West,Data Services,2684.71,87,43
2026-07-17,East,AI Platform,3946.09,91,49
2026-07-17,East,Cloud Tools,2588.73,86,45
2026-07-17,East,Data Services,2176.29,75,37
2026-07-18,South,AI Platform,5566.88,133,75
2026-07-18,South,Cloud Tools,3895.67,112,60
2026-07-18,South,Data Services,3162.13,102,56
2026-07-18,North,AI Platform,4956.6,117,66
2026-07-18,North,Cloud Tools,3183.38,102,51
2026-07-18,North,Data Services,2331.37,97,47
2026-07-18,West,AI Platform,6544.89,138,86
2026-07-18,West,Cloud Tools,2956.34,93,47
2026-07-18,West,Data Services,2700.76,93,45
2026-07-18,East,AI Platform,4713.79,111,58
2026-07-18,East,Cloud Tools,3448.76,105,55
2026-07-18,East,Data Services,2183.05,79,42
2026-07-19,South,AI Platform,6845.18,144,79
2026-07-19,South,Cloud Tools,4004.03,120,67
2026-07-19,South,Data Services,3188.59,111,58
2026-07-19,North,AI Platform,5277.44,118,69
2026-07-19,North,Cloud Tools,2724.06,87,45
2026-07-19,North,Data Services,2290.83,85,44
2026-07-19,West,AI Platform,4910.99,115,65
2026-07-19,West,Cloud Tools,3122.2,89,48
2026-07-19,West,Data Services,2619.07,89,43
2026-07-19,East,AI Platform,5437.72,110,68
2026-07-19,East,Cloud Tools,3222.55,94,48
2026-07-19,East,Data Services,2584.55,85,46
2026-07-20,South,AI Platform,5555.66,125,68
2026-07-20,South,Cloud Tools,3742.13,119,60
2026-07-20,South,Data Services,3065.66,98,50
2026-07-20,North,AI Platform,3568.24,89,48
2026-07-20,North,Cloud Tools,2177.49,73,36
2026-07-20,North,Data Services,2400.18,77,42
2026-07-20,West,AI Platform,4891.7,106,59
2026-07-20,West,Cloud Tools,2910.37,89,44
2026-07-20,West,Data Services,2549.91,83,44
2026-07-20,East,AI Platform,4131.0,101,53
2026-07-20,East,Cloud Tools,2261.85,80,39
2026-07-20,East,Data Services,2123.26,77,39
2026-07-21,South,AI Platform,5049.46,128,75
2026-07-21,South,Cloud Tools,3341.32,98,48
2026-07-21,South,Data Services,2809.68,98,52
2026-07-21,North,AI Platform,4305.0,97,55
2026-07-21,North,Cloud Tools,3058.2,93,47
2026-07-21,North,Data Services,2553.95,79,42
2026-07-21,West,AI Platform,4217.1,102,51
2026-07-21,West,Cloud Tools,2899.77,105,51
2026-07-21,West,Data Services,2955.76,85,46
2026-07-21,East,AI Platform,4060.11,100,55
2026-07-21,East,Cloud Tools,2524.29,82,42
2026-07-21,East,Data Services,2973.77,86,48
2026-07-22,South,AI Platform,5669.54,122,70
2026-07-22,South,Cloud Tools,4052.83,112,61
2026-07-22,South,Data Services,3196.04,101,54
2026-07-22,North,AI Platform,3920.65,93,52
2026-07-22,North,Cloud Tools,3108.13,80,44
2026-07-22,North,Data Services,2884.21,88,46
2026-07-22,West,AI Platform,4664.48,114,64
2026-07-22,West,Cloud Tools,3008.89,99,51
2026-07-22,West,Data Services,2762.99,84,43
2026-07-22,East,AI Platform,4512.37,103,57
2026-07-22,East,Cloud Tools,2513.43,82,42
2026-07-22,East,Data Services,1877.71,71,35
2026-07-23,South,AI Platform,5222.87,133,75
2026-07-23,South,Cloud Tools,3947.91,108,58
2026-07-23,South,Data Services,2918.14,103,53
2026-07-23,North,AI Platform,4387.63,98,55
2026-07-23,North,Cloud Tools,3365.09,98,53
2026-07-23,North,Data Services,2056.46,70,35
2026-07-23,West,AI Platform,4830.19,113,61
2026-07-23,West,Cloud Tools,2999.02,93,46
2026-07-23,West,Data Services,2534.88,82,43
2026-07-23,East,AI Platform,4066.98,89,48
2026-07-23,East,Cloud Tools,1932.92,74,34
2026-07-23,East,Data Services,2188.45,73,38
2026-07-24,South,AI Platform,5430.0,138,68
2026-07-24,South,Cloud Tools,3689.95,120,59
2026-07-24,South,Data Services,2558.91,91,45
2026-07-24,North,AI Platform,5349.95,116,70
2026-07-24,North,Cloud Tools,3748.91,103,53
2026-07-24,North,Data Services,2370.87,78,40
2026-07-24,West,AI Platform,5900.51,137,79
2026-07-24,West,Cloud Tools,3292.33,104,53
2026-07-24,West,Data Services,2771.56,92,47
2026-07-24,East,AI Platform,4399.39,98,55
2026-07-24,East,Cloud Tools,2228.47,69,37
2026-07-24,East,Data Services,1865.35,62,32
2026-07-25,South,AI Platform,5809.21,140,81
2026-07-25,South,Cloud Tools,3829.27,120,60
2026-07-25,South,Data Services,3268.11,110,54
2026-07-25,North,AI Platform,4198.86,119,61
2026-07-25,North,Cloud Tools,3243.75,101,51
2026-07-25,North,Data Services,2819.7,88,46
2026-07-25,West,AI Platform,4664.53,121,64
2026-07-25,West,Cloud Tools,3802.96,111,61
2026-07-25,West,Data Services,2038.74,78,37
2026-07-25,East,AI Platform,4534.47,106,58
2026-07-25,East,Cloud Tools,3008.8,91,49
2026-07-25,East,Data Services,2053.58,75,39
2026-07-26,South,AI Platform,6416.73,148,83
2026-07-26,South,Cloud Tools,4889.99,135,68
2026-07-26,South,Data Services,3028.65,107,52
2026-07-26,North,AI Platform,4791.49,112,60
2026-07-26,North,Cloud Tools,3525.17,105,52
2026-07-26,North,Data Services,3171.65,97,53
2026-07-26,West,AI Platform,5355.85,138,70
2026-07-26,West,Cloud Tools,3275.7,103,53
2026-07-26,West,Data Services,3042.7,95,53
2026-07-26,East,AI Platform,4857.97,113,62
2026-07-26,East,Cloud Tools,3355.26,93,49
2026-07-26,East,Data Services,2942.53,93,49
2026-07-27,South,AI Platform,5603.24,122,68
2026-07-27,South,Cloud Tools,4044.23,116,60
2026-07-27,South,Data Services,3245.38,101,55
2026-07-27,North,AI Platform,3792.8,104,59
2026-07-27,North,Cloud Tools,2237.89,93,39
2026-07-27,North,Data Services,2374.01,83,44
2026-07-27,West,AI Platform,4922.76,110,65
2026-07-27,West,Cloud Tools,3802.88,113,58
2026-07-27,West,Data Services,2725.59,97,50
2026-07-27,East,AI Platform,3867.1,97,54
2026-07-27,East,Cloud Tools,2701.98,81,40
2026-07-27,East,Data Services,2132.33,73,37
2026-07-28,South,AI Platform,5499.1,132,75
2026-07-28,South,Cloud Tools,3495.33,103,56
2026-07-28,South,Data Services,2742.18,87,46
2026-07-28,North,AI Platform,4397.9,96,54
2026-07-28,North,Cloud Tools,2871.77,93,49
2026-07-28,North,Data Services,2365.44,82,42
2026-07-28,West,AI Platform,6220.63,122,72
2026-07-28,West,Cloud Tools,3594.49,107,55
2026-07-28,West,Data Services,2747.39,91,47
2026-07-28,East,AI Platform,4326.04,104,58
2026-07-28,East,Cloud Tools,2688.48,80,42
2026-07-28,East,Data Services,2267.82,76,40
2026-07-29,South,AI Platform,5561.02,136,77
2026-07-29,South,Cloud Tools,3516.31,121,61
2026-07-29,South,Data Services,2559.99,90,44
2026-07-29,North,AI Platform,4611.31,105,57
2026-07-29,North,Cloud Tools,3213.11,93,49
2026-07-29,North,Data Services,2212.54,84,39
2026-07-29,West,AI Platform,4366.79,101,56
2026-07-29,West,Cloud Tools,3692.38,105,57
2026-07-29,West,Data Services,2471.17,83,44
2026-07-29,East,AI Platform,4297.21,99,57
2026-07-29,East,Cloud Tools,2835.68,89,47
2026-07-29,East,Data Services,2450.9,80,42
2026-07-30,South,AI Platform,5057.41,126,67
2026-07-30,South,Cloud Tools,3743.76,115,57
2026-07-30,South,Data Services,2627.17,89,45
2026-07-30,North,AI Platform,5517.79,125,65
2026-07-30,North,Cloud Tools,3093.81,92,48
2026-07-30,North,Data Services,2648.52,83,42
2026-07-30,West,AI Platform,4948.97,113,66
2026-07-30,West,Cloud Tools,3155.87,98,48
2026-07-30,West,Data Services,2865.74,97,50
2026-07-30,East,AI Platform,3527.29,91,50
2026-07-30,East,Cloud Tools,2762.6,77,40
2026-07-30,East,Data Services,2897.76,93,46
2026-07-31,South,AI Platform,5841.79,133,73
2026-07-31,South,Cloud Tools,3621.06,112,58
2026-07-31,South,Data Services,2531.48,88,42
2026-07-31,North,AI Platform,4448.27,106,57
2026-07-31,North,Cloud Tools,3074.04,97,50
2026-07-31,North,Data Services,2926.33,89,49
2026-07-31,West,AI Platform,5996.8,123,72
2026-07-31,West,Cloud Tools,3629.75,103,55
2026-07-31,West,Data Services,2237.83,79,42
2026-07-31,East,AI Platform,4506.27,94,55
2026-07-31,East,Cloud Tools,2859.62,94,48
2026-07-31,East,Data Services,2156.17,72,37
2026-08-01,South,AI Platform,6770.04,156,85
2026-08-01,South,Cloud Tools,3968.74,118,62
2026-08-01,South,Data Services,3040.03,105,53
2026-08-01,North,AI Platform,5505.29,119,71
2026-08-01,North,Cloud Tools,2846.61,101,47
2026-08-01,North,Data Services,2763.57,88,44
2026-08-01,West,AI Platform,5949.95,130,76
2026-08-01,West,Cloud Tools,3648.83,111,57
2026-08-01,West,Data Services,2551.73,109,50
2026-08-01,East,AI Platform,4873.78,108,60
2026-08-01,East,Cloud Tools,3395.66,98,50
2026-08-01,East,Data Services,2883.45,90,47
2026-08-02,South,AI Platform,6582.53,150,81
2026-08-02,South,Cloud Tools,4527.65,126,65
2026-08-02,South,Data Services,2424.1,93,45
2026-08-02,North,AI Platform,4611.47,119,65
2026-08-02,North,Cloud Tools,3451.52,96,47
2026-08-02,North,Data Services,2950.21,103,52
2026-08-02,West,AI Platform,4879.54,123,63
2026-08-02,West,Cloud Tools,3066.33,104,53
2026-08-02,West,Data Services,2845.17,92,48
2026-08-02,East,AI Platform,4920.0,115,60
2026-08-02,East,Cloud Tools,3006.08,89,47
2026-08-02,East,Data Services,2193.04,74,37
2026-08-03,South,AI Platform,6472.82,137,76
2026-08-03,South,Cloud Tools,4079.71,119,61
2026-08-03,South,Data Services,3384.77,112,63
2026-08-03,North,AI Platform,4382.83,102,60
2026-08-03,North,Cloud Tools,2755.77,83,42
2026-08-03,North,Data Services,2226.15,80,40
2026-08-03,West,AI Platform,5320.68,112,60
2026-08-03,West,Cloud Tools,3354.58,101,54
2026-08-03,West,Data Services,2097.2,86,43
2026-08-03,East,AI Platform,3103.67,90,46
2026-08-03,East,Cloud Tools,2680.83,76,42
2026-08-03,East,Data Services,2671.83,83,44
2026-08-04,South,AI Platform,5861.55,127,72
2026-08-04,South,Cloud Tools,3838.1,109,58
2026-08-04,South,Data Services,2478.44,95,46
2026-08-04,North,AI Platform,4531.75,109,61
2026-08-04,North,Cloud Tools,3252.32,92,49
2026-08-04,North,Data Services,2725.78,92,50
2026-08-04,West,AI Platform,5802.3,129,70
2026-08-04,West,Cloud Tools,2852.92,100,50
2026-08-04,West,Data Services,2516.01,86,41
2026-08-04,East,AI Platform,4685.38,111,59
2026-08-04,East,Cloud Tools,2678.96,80,40
2026-08-04,East,Data Services,2309.2,74,41
2026-08-05,South,AI Platform,6374.49,140,78
2026-08-05,South,Cloud Tools,3622.72,110,57
2026-08-05,South,Data Services,2952.88,93,49
2026-08-05,North,AI Platform,5680.46,113,67
2026-08-05,North,Cloud Tools,2895.45,90,47
2026-08-05,North,Data Services,2545.51,81,40
2026-08-05,West,AI Platform,5516.68,120,66
2026-08-05,West,Cloud Tools,2615.18,85,39
2026-08-05,West,Data Services,2455.67,88,46
2026-08-05,East,AI Platform,4993.29,100,61
2026-08-05,East,Cloud Tools,2686.85,86,43
2026-08-05,East,Data Services,1889.21,60,31
2026-08-06,South,AI Platform,4790.48,123,66
2026-08-06,South,Cloud Tools,3079.77,106,55
2026-08-06,South,Data Services,3199.07,104,56
2026-08-06,North,AI Platform,4104.73,92,49
2026-08-06,North,Cloud Tools,2200.35,73,37
2026-08-06,North,Data Services,2554.45,87,43
2026-08-06,West,AI Platform,5624.67,122,73
2026-08-06,West,Cloud Tools,3359.99,103,49
2026-08-06,West,Data Services,2374.83,83,41
2026-08-06,East,AI Platform,4126.39,90,50
2026-08-06,East,Cloud Tools,2604.51,87,41
2026-08-06,East,Data Services,2007.61,80,37
2026-08-07,South,AI Platform,6314.31,140,79
2026-08-07,South,Cloud Tools,4390.74,126,66
2026-08-07,South,Data Services,3368.63,119,61
2026-08-07,North,AI Platform,4834.24,113,64
2026-08-07,North,Cloud Tools,3197.5,86,49
2026-08-07,North,Data Services,2362.43,77,41
2026-08-07,West,AI Platform,4820.92,117,67
2026-08-07,West,Cloud Tools,3815.83,103,58
2026-08-07,West,Data Services,2432.6,86,43
2026-08-07,East,AI Platform,4443.57,99,54
2026-08-07,East,Cloud Tools,2439.14,73,39
2026-08-07,East,Data Services,2379.7,78,38
2026-08-08,South,AI Platform,6523.81,159,92
2026-08-08,South,Cloud Tools,4048.5,133,70
2026-08-08,South,Data Services,3536.17,112,59
2026-08-08,North,AI Platform,5942.76,124,70
2026-08-08,North,Cloud Tools,3139.05,113,50
2026-08-08,North,Data Services,2508.09,91,43
2026-08-08,West,AI Platform,5968.08,142,75
2026-08-08,West,Cloud Tools,3692.68,106,53
2026-08-08,West,Data Services,2574.41,95,50
2026-08-08,East,AI Platform,5554.5,126,72
2026-08-08,East,Cloud Tools,3289.96,100,48
2026-08-08,East,Data Services,2364.14,82,42
2026-08-09,South,AI Platform,6652.6,147,84
2026-08-09,South,Cloud Tools,4486.01,132,68
2026-08-09,South,Data Services,3257.7,109,62
2026-08-09,North,AI Platform,5772.93,132,78
2026-08-09,North,Cloud Tools,4402.4,120,65
2026-08-09,North,Data Services,2691.75,92,47
2026-08-09,West,AI Platform,6307.88,136,80
2026-08-09,West,Cloud Tools,3849.62,107,57
2026-08-09,West,Data Services,3195.2,104,56
2026-08-09,East,AI Platform,4009.72,107,57
2026-08-09,East,Cloud Tools,3115.52,98,50
2026-08-09,East,Data Services,1918.92,64,31
2026-08-10,South,AI Platform,5218.89,130,73
2026-08-10,South,Cloud Tools,4167.28,124,64
2026-08-10,South,Data Services,3700.65,117,65
2026-08-10,North,AI Platform,4662.41,106,58
2026-08-10,North,Cloud Tools,3272.8,93,47
2026-08-10,North,Data Services,2682.53,81,46
2026-08-10,West,AI Platform,6188.0,132,75
2026-08-10,West,Cloud Tools,3090.97,96,47
2026-08-10,West,Data Services,2676.17,96,50
2026-08-10,East,AI Platform,3346.92,92,48
2026-08-10,East,Cloud Tools,3005.58,87,47
2026-08-10,East,Data Services,1723.0,60,30
2026-08-11,South,AI Platform,5941.39,150,78
2026-08-11,South,Cloud Tools,4366.77,126,66
2026-08-11,South,Data Services,3217.42,102,53
2026-08-11,North,AI Platform,4366.04,105,61
2026-08-11,North,Cloud Tools,3081.67,96,50
2026-08-11,North,Data Services,2225.09,82,41
2026-08-11,West,AI Platform,4929.66,117,62
2026-08-11,West,Cloud Tools,2973.16,93,50
2026-08-11,West,Data Services,2629.68,85,42
2026-08-11,East,AI Platform,4579.04,104,57
2026-08-11,East,Cloud Tools,2580.14,71,36
2026-08-11,East,Data Services,2396.3,77,40
2026-08-12,South,AI Platform,5049.12,142,72
2026-08-12,South,Cloud Tools,4004.21,116,58
2026-08-12,South,Data Services,2465.02,99,46
2026-08-12,North,AI Platform,3855.92,92,50
2026-08-12,North,Cloud Tools,3361.51,91,49
2026-08-12,North,Data Services,2225.48,81,37
2026-08-12,West,AI Platform,5781.53,124,70
2026-08-12,West,Cloud Tools,3196.74,93,53
2026-08-12,West,Data Services,2464.32,95,45
2026-08-12,East,AI Platform,5079.71,113,62
2026-08-12,East,Cloud Tools,3115.67,88,45
2026-08-12,East,Data Services,1932.17,74,35
2026-08-13,South,AI Platform,5582.63,140,79
2026-08-13,South,Cloud Tools,3442.81,110,55
2026-08-13,South,Data Services,2551.36,92,46
2026-08-13,North,AI Platform,5180.28,117,67
2026-08-13,North,Cloud Tools,2921.49,92,48
2026-08-13,North,Data Services,2064.26,75,37
2026-08-13,West,AI Platform,5129.15,112,63
2026-08-13,West,Cloud Tools,2968.31,91,47
2026-08-13,West,Data Services,2488.25,92,47
2026-08-13,East,AI Platform,4306.36,94,52
2026-08-13,East,Cloud Tools,2537.02,71,37
2026-08-13,East,Data Services,2222.13,75,40
2026-08-14,South,AI Platform,4691.99,135,70
2026-08-14,South,Cloud Tools,3735.05,122,60
2026-08-14,South,Data Services,2525.38,92,44
2026-08-14,North,AI Platform,4807.07,106,60
2026-08-14,North,Cloud Tools,3572.99,97,51
2026-08-14,North,Data Services,2415.73,76,39
2026-08-14,West,AI Platform,5128.06,129,67
2026-08-14,West,Cloud Tools,3820.24,112,59
2026-08-14,West,Data Services,2596.13,88,44
2026-08-14,East,AI Platform,4388.6,101,56
2026-08-14,East,Cloud Tools,3233.2,82,43
2026-08-14,East,Data Services,1826.7,64,33
2026-08-15,South,AI Platform,10623.08,157,136
2026-08-15,South,Cloud Tools,4920.99,138,72
2026-08-15,South,Data Services,3202.48,98,54
2026-08-15,North,AI Platform,5187.84,133,70
2026-08-15,North,Cloud Tools,3579.78,107,55
2026-08-15,North,Data Services,2946.67,101,48
2026-08-15,West,AI Platform,5262.52,135,74
2026-08-15,West,Cloud Tools,3590.45,118,54
2026-08-15,West,Data Services,2648.92,90,46
2026-08-15,East,AI Platform,5083.1,123,68
2026-08-15,East,Cloud Tools,3369.03,94,51
2026-08-15,East,Data Services,2206.94,83,42
2026-08-16,South,AI Platform,6521.47,156,80
2026-08-16,South,Cloud Tools,4483.16,131,75
2026-08-16,South,Data Services,3977.35,114,64
2026-08-16,North,AI Platform,5304.64,121,68
2026-08-16,North,Cloud Tools,3437.48,108,54
2026-08-16,North,Data Services,2501.78,82,42
2026-08-16,West,AI Platform,5701.22,134,69
2026-08-16,West,Cloud Tools,3649.5,117,58
2026-08-16,West,Data Services,2469.65,91,44
2026-08-16,East,AI Platform,5426.75,124,67
2026-08-16,East,Cloud Tools,3109.4,94,49
2026-08-16,East,Data Services,2416.27,92,46
2026-08-17,South,AI Platform,4978.65,128,69
2026-08-17,South,Cloud Tools,4387.11,119,60
2026-08-17,South,Data Services,2541.51,90,47
2026-08-17,North,AI Platform,4094.15,109,61
2026-08-17,North,Cloud Tools,3424.23,97,55
2026-08-17,North,Data Services,2641.75,85,46
2026-08-17,West,AI Platform,4697.99,117,58
2026-08-17,West,Cloud Tools,3224.31,102,50
2026-08-17,West,Data Services,2584.73,86,43
2026-08-17,East,AI Platform,3930.24,94,55
